Household Income Bucket ID,Household Income Bucket,Year,Household_Income,Household Income Moe,State,State ID,share
0,"< $10,000",2013,8380364,19177,"United States","01000US",0.07248809222880441
0,"< $10,000",2014,8395338,16627,"United States","01000US",0.07224214019088643
0,"< $10,000",2015,8421482,18763,"United States","01000US",0.07202384442063743
0,"< $10,000",2016,8243664,18695,"United States","01000US",0.07002996536493092
0,"< $10,000",2017,7942251,17662,"United States","01000US",0.06683938094618261
0,"< $10,000",2018,7584305,18464,"United States","01000US",0.06334500034945256
0,"< $10,000",2019,7302871,18046,"United States","01000US",0.06047623386946217
0,"< $10,000",2020,7145751,24748,"United States","01000US",0.05840216265856758
0,"< $10,000",2021,6835028,25393,"United States","01000US",0.05511630775439648
0,"< $10,000",2022,6192080,22306,"United States","01000US",0.04924653731606165
0,"< $10,000",2023,6214601,26414,"United States","01000US",0.04874852004620386
1,"$10,000-$14,999",2013,6214548,16925,"United States","01000US",0.05375431527608252
1,"$10,000-$14,999",2014,6189386,15777,"United States","01000US",0.05325985578037594
1,"$10,000-$14,999",2015,6161477,15350.000000000002,"United States","01000US",0.05269538791976707
1,"$10,000-$14,999",2016,6000362,20040,"United States","01000US",0.050973104075693484
1,"$10,000-$14,999",2017,5768114,16409,"United States","01000US",0.04854255663627467
1,"$10,000-$14,999",2018,5507051,15243,"United States","01000US",0.04599553255300955
1,"$10,000-$14,999",2019,5189583,15224,"United States","01000US",0.04297576051842968
1,"$10,000-$14,999",2020,5020097,17141,"United States","01000US",0.04102921044349112
1,"$10,000-$14,999",2021,4848344,17701,"United States","01000US",0.03909608270853926
1,"$10,000-$14,999",2022,4743710,20611,"United States","01000US",0.03772743432442326
1,"$10,000-$14,999",2023,4531954,20357,"United States","01000US",0.035549514830875505
2,"$15,000-$19,999",2013,6236898,17145,"United States","01000US",0.05394763729184625
2,"$15,000-$19,999",2014,6225984,18669,"United States","01000US",0.05357478268941832
2,"$15,000-$19,999",2015,6139644,16066,"United States","01000US",0.05250866346969572
